

loss 90.31391143798828:  85% 148508/174001 [15:26:48<2:38:53,  2.67it/s]
loss 90.31391143798828:  85% 148509/174001 [15:26:48<2:38:52,  2.67it/s]
loss 83.23761749267578:  85% 148509/174001 [15:26:49<2:38:52,  2.67it/s]
loss 83.23761749267578:  85% 148510/174001 [15:26:49<2:38:43,  2.68it/s]
loss 81.33992004394531:  85% 148510/174001 [15:26:49<2:38:43,  2.68it/s]
loss 81.33992004394531:  85% 148511/174001 [15:26:49<2:38:41,  2.68it/s]
loss 10715.755859375:  85% 148511/174001 [15:26:49<2:38:41,  2.68it/s]  
loss 10715.755859375:  85% 148512/174001 [15:26:49<2:38:26,  2.68it/s]
loss 105.51251983642578:  85% 148512/174001 [15:26:50<2:38:26,  2.68it/s]
loss 105.51251983642578:  85% 148513/174001 [15:26:50<2:39:08,  2.67it/s]
loss 148.26292419433594:  85% 148513/174001 [15:26:50<2:39:08,  2.67it/s]
loss 148.26292419433594:  85% 148514/174001 [15:26:50<2:38:49,  2.67it/s]
loss 123.2891616821289:  85% 148514/174001 [15:26:51<2:38:49,  2.67it/s] 
loss 123.2891616821289:  85% 148515/174001 [15:26:51<2:38:26,  2.68it/s]
loss 91.91403198242188:  85% 148515/174001 [15:26:51<2:38:26,  2.68it/s]
loss 91.91403198242188:  85% 148516/174001 [15:26:51<2:38:16,  2.68it/s]
loss 87.96923828125:  85% 148516/174001 [15:26:51<2:38:16,  2.68it/s]   
loss 87.96923828125:  85% 148517/174001 [15:26:51<2:38:29,  2.68it/s]
loss 1752.279296875:  85% 148517/174001 [15:26:52<2:38:29,  2.68it/s]
loss 1752.279296875:  85% 148518/174001 [15:26:52<2:38:53,  2.67it/s]
loss 173.5592041015625:  85% 148518/174001 [15:26:52<2:38:53,  2.67it/s]
loss 173.5592041015625:  85% 148519/174001 [15:26:52<2:38:28,  2.68it/s]
loss 902.0542602539062:  85% 148519/174001 [15:26:52<2:38:28,  2.68it/s]
loss 902.0542602539062:  85% 148520/174001 [15:26:52<2:38:09,  2.69it/s]
loss 145.66006469726562:  85% 148520/174001 [15:26:53<2:38:09,  2.69it/s]
loss 145.66006469726562:  85% 148521/174001 [15:26:53<2:38:25,  2.68it/s]
loss 128.1150360107422:  85% 148521/174001 [15:26:53<2:38:25,  2.68it/s] 
loss 128.1150360107422:  85% 148522/174001 [15:26:53<2:38:26,  2.68it/s]
loss 146.4922332763672:  85% 148522/174001 [15:26:54<2:38:26,  2.68it/s]
loss 146.4922332763672:  85% 148523/174001 [15:26:54<2:38:11,  2.68it/s]
loss 109.73564910888672:  85% 148523/174001 [15:26:54<2:38:11,  2.68it/s]
loss 109.73564910888672:  85% 148524/174001 [15:26:54<2:38:35,  2.68it/s]
loss 223.25637817382812:  85% 148524/174001 [15:26:54<2:38:35,  2.68it/s]
loss 223.25637817382812:  85% 148525/174001 [15:26:54<2:38:34,  2.68it/s]
loss 120.12311553955078:  85% 148525/174001 [15:26:55<2:38:34,  2.68it/s]
loss 120.12311553955078:  85% 148526/174001 [15:26:55<2:38:44,  2.67it/s]
loss 236.98719787597656:  85% 148526/174001 [15:26:55<2:38:44,  2.67it/s]
loss 236.98719787597656:  85% 148527/174001 [15:26:55<2:38:20,  2.68it/s]
loss 188.14634704589844:  85% 148527/174001 [15:26:55<2:38:20,  2.68it/s]
loss 188.14634704589844:  85% 148528/174001 [15:26:55<2:38:31,  2.68it/s]
loss 106.18614959716797:  85% 148528/174001 [15:26:56<2:38:31,  2.68it/s]
loss 106.18614959716797:  85% 148529/174001 [15:26:56<2:39:03,  2.67it/s]
loss 176.11642456054688:  85% 148529/174001 [15:26:56<2:39:03,  2.67it/s]
loss 176.11642456054688:  85% 148530/174001 [15:26:56<2:38:58,  2.67it/s]
loss 131.4212646484375:  85% 148530/174001 [15:26:57<2:38:58,  2.67it/s] 
loss 131.4212646484375:  85% 148531/174001 [15:26:57<2:38:29,  2.68it/s]
loss 123.77178192138672:  85% 148531/174001 [15:26:57<2:38:29,  2.68it/s]
loss 123.77178192138672:  85% 148532/174001 [15:26:57<2:38:29,  2.68it/s]
loss 93.43170928955078:  85% 148532/174001 [15:26:57<2:38:29,  2.68it/s] 
loss 93.43170928955078:  85% 148533/174001 [15:26:57<2:38:16,  2.68it/s]
loss 146.60423278808594:  85% 148533/174001 [15:26:58<2:38:16,  2.68it/s]
loss 146.60423278808594:  85% 148534/174001 [15:26:58<2:38:43,  2.67it/s]
loss 201.01173400878906:  85% 148534/174001 [15:26:58<2:38:43,  2.67it/s]
loss 201.01173400878906:  85% 148535/174001 [15:26:58<2:38:26,  2.68it/s]
loss 126.4144058227539:  85% 148535/174001 [15:26:58<2:38:26,  2.68it/s] 
loss 126.4144058227539:  85% 148536/174001 [15:26:58<2:38:30,  2.68it/s]
loss 78.11621856689453:  85% 148536/174001 [15:26:59<2:38:30,  2.68it/s]
loss 78.11621856689453:  85% 148537/174001 [15:26:59<2:38:30,  2.68it/s]
loss 78.71524047851562:  85% 148537/174001 [15:26:59<2:38:30,  2.68it/s]
loss 78.71524047851562:  85% 148538/174001 [15:26:59<2:38:29,  2.68it/s]
loss 96.8686294555664:  85% 148538/174001 [15:26:59<2:38:29,  2.68it/s] 
loss 96.8686294555664:  85% 148539/174001 [15:26:59<2:38:17,  2.68it/s]
loss 69.8223876953125:  85% 148539/174001 [15:27:00<2:38:17,  2.68it/s]
loss 69.8223876953125:  85% 148540/174001 [15:27:00<2:38:57,  2.67it/s]
loss 86.74716186523438:  85% 148540/174001 [15:27:00<2:38:57,  2.67it/s]
loss 86.74716186523438:  85% 148541/174001 [15:27:00<2:38:35,  2.68it/s]
loss 124.93994903564453:  85% 148541/174001 [15:27:01<2:38:35,  2.68it/s]
loss 124.93994903564453:  85% 148542/174001 [15:27:01<2:38:35,  2.68it/s]
loss 100.85769653320312:  85% 148542/174001 [15:27:01<2:38:35,  2.68it/s]
loss 100.85769653320312:  85% 148543/174001 [15:27:01<2:38:10,  2.68it/s]
loss 94.25382995605469:  85% 148543/174001 [15:27:01<2:38:10,  2.68it/s] 
loss 94.25382995605469:  85% 148544/174001 [15:27:01<2:38:17,  2.68it/s]
loss 105.97193145751953:  85% 148544/174001 [15:27:02<2:38:17,  2.68it/s]
loss 105.97193145751953:  85% 148545/174001 [15:27:02<2:38:56,  2.67it/s]
loss 78.54940032958984:  85% 148545/174001 [15:27:02<2:38:56,  2.67it/s] 
loss 78.54940032958984:  85% 148546/174001 [15:27:02<2:38:40,  2.67it/s]
loss 74.84366607666016:  85% 148546/174001 [15:27:02<2:38:40,  2.67it/s]
loss 74.84366607666016:  85% 148547/174001 [15:27:02<2:38:18,  2.68it/s]
loss 75.90039825439453:  85% 148547/174001 [15:27:03<2:38:18,  2.68it/s]
loss 75.90039825439453:  85% 148548/174001 [15:27:03<2:38:23,  2.68it/s]
loss 113.65352630615234:  85% 148548/174001 [15:27:03<2:38:23,  2.68it/s]
loss 113.65352630615234:  85% 148549/174001 [15:27:03<2:38:07,  2.68it/s]
loss 99.02520751953125:  85% 148549/174001 [15:27:04<2:38:07,  2.68it/s] 
loss 99.02520751953125:  85% 148550/174001 [15:27:04<2:37:54,  2.69it/s]
loss 59.97893524169922:  85% 148550/174001 [15:27:04<2:37:54,  2.69it/s]
loss 59.97893524169922:  85% 148551/174001 [15:27:04<2:38:45,  2.67it/s]
loss 86.15583038330078:  85% 148551/174001 [15:27:04<2:38:45,  2.67it/s]
loss 86.15583038330078:  85% 148552/174001 [15:27:04<2:38:35,  2.67it/s]
loss 69.54047393798828:  85% 148552/174001 [15:27:05<2:38:35,  2.67it/s]
loss 69.54047393798828:  85% 148553/174001 [15:27:05<2:38:38,  2.67it/s]
loss 101.72347259521484:  85% 148553/174001 [15:27:05<2:38:38,  2.67it/s]
loss 101.72347259521484:  85% 148554/174001 [15:27:05<2:38:08,  2.68it/s]
loss 78.50177001953125:  85% 148554/174001 [15:27:05<2:38:08,  2.68it/s] 
loss 78.50177001953125:  85% 148555/174001 [15:27:05<2:37:47,  2.69it/s]
loss 121.35813903808594:  85% 148555/174001 [15:27:06<2:37:47,  2.69it/s]
loss 121.35813903808594:  85% 148556/174001 [15:27:06<2:38:51,  2.67it/s]
